,0
2012-12-24,-53134.58112576947
2012-12-25,109065.77370214976
2012-12-26,250504.48513089996
2012-12-27,52993.4821496669
2012-12-28,-24353.686936108683
2012-12-31,170855.9219296185
2013-01-04,116632.07676809317
2013-01-07,-104541.56409508002
2013-01-08,80405.53548887471
2013-01-09,81038.85113165193
2013-01-10,8477.798934495419
2013-01-11,113639.49947111579
2013-01-14,-175874.30344139112
2013-01-15,306864.12538996426
2013-01-16,82042.65829248675
2013-01-17,-3019.584921500765
2013-01-18,31620.9486583887
2013-01-21,323720.0567504791
2013-01-22,162327.9762831607
2013-01-23,-85553.07116953589
2013-01-24,162225.44994452674
2013-01-25,-161079.84399483437
2013-01-28,-33874.412031802036
2013-01-29,483456.4701479917
2013-01-30,86822.72327706702
2013-01-31,187044.44258600246
2013-02-01,-55207.82637100145
2013-02-04,104187.57638448807
2013-02-05,-135076.34739776785
2013-02-06,203245.6763223685
2013-02-07,-3657.0836516544778
2013-02-08,-40024.572682936836
2013-02-18,210013.15453529768
2013-02-19,8910.238450069684
2013-02-20,-123964.74914953322
2013-02-21,-35752.81952938169
2013-02-22,-90194.2508091796
2013-02-25,-57230.99561986517
2013-02-26,-46164.72302821414
2013-02-27,-57286.75840639966
2013-02-28,204278.41884923255
2013-03-01,178348.96751821143
2013-03-04,-92626.48071375607
2013-03-05,-282331.3566432048
2013-03-06,286846.86171166756
2013-03-07,69951.12310454264
2013-03-08,140747.67520824185
2013-03-11,-317996.6015075983
2013-03-12,-97710.14913437465
2013-03-13,-131727.1425706089
2013-03-14,-28646.709006218734
2013-03-15,-93317.55849172563
2013-03-18,-69814.00487251411
2013-03-19,51541.75970028569
2013-03-20,147094.6601494636
2013-03-21,243521.92250432965
2013-03-22,-35665.596901532765
2013-03-25,141034.31241575078
2013-03-26,-53162.862568052595
2013-03-27,-34414.07585209398
2013-03-28,-39351.870301890696
2013-03-29,-179190.10506700064
2013-04-01,-41822.82795775462
2013-04-02,62632.772654843684
2013-04-03,101204.61848909533
2013-04-08,-194352.62633440905
2013-04-09,60518.67514937239
2013-04-10,99172.61589312128
2013-04-11,17072.96490785282
2013-04-12,-55178.95053687588
2013-04-15,-49248.32607954578
2013-04-16,-204612.35350220534
2013-04-17,222952.72086261146
2013-04-18,97511.28703248333
2013-04-19,214424.4989050346
2013-04-22,69631.14225553363
2013-04-23,104407.94661547655
2013-04-24,-179632.78639101546
2013-04-25,151344.31615179183
2013-04-26,-36487.551220763744
2013-05-02,-206236.3549487159
2013-05-03,118843.71669856177
2013-05-06,103594.24225934046
2013-05-07,193689.30746794865
2013-05-08,142173.42618688382
2013-05-09,32744.87942169599
2013-05-10,-94735.25921054647
2013-05-13,101222.78490933783
2013-05-14,45685.603825695405
2013-05-15,-62703.85340391281
2013-05-16,-1658.5945780736952
2013-05-17,210264.3815548982
2013-05-20,202207.4413673536
2013-05-21,-46190.32584010696
2013-05-22,118334.60145411275
2013-05-23,87961.65235496058
2013-05-24,-106432.7870486719
2013-05-27,22465.243024160554
2013-05-28,-531127.0414188149
2013-05-29,53845.885283009906
2013-05-30,39509.94805043
2013-05-31,188445.5859886668
2013-06-03,-33236.25471044538
2013-06-04,-90458.15632608175
2013-06-05,65439.745964668095
2013-06-06,-59253.39450629739
2013-06-07,-10967.911302268154
2013-06-13,-281257.5233466879
2013-06-14,-60112.8263394146
2013-06-17,108047.00131566287
2013-06-18,45198.488305471794
2013-06-19,-63929.390131748376
2013-06-20,-509317.6713626876
2013-06-21,-522192.20317455294
2013-06-24,47868.03711469395
2013-06-25,-798774.632417264
2013-06-26,25930.283960666206
2013-06-27,86179.9561543516
2013-06-28,-79372.40805582218
2013-07-01,209623.90249566434
2013-07-02,140496.620041942
2013-07-03,45483.00107784606
2013-07-04,-125185.49834330638
2013-07-05,162614.72059007324
2013-07-08,-128113.14564261455
2013-07-09,-312625.35939129477
2013-07-10,19447.88548121636
2013-07-11,388311.71323463536
2013-07-12,347601.36040453723
2013-07-15,-23933.614058011142
2013-07-16,30944.001292275174
2013-07-17,16254.347440240765
2013-07-18,76212.93449817432
2013-07-19,-774451.5928187688
2013-07-22,-597393.0431246848
2013-07-23,120125.04582882895
2013-07-24,343949.0751954087
2013-07-25,-55011.843791110885
2013-07-26,-318345.78095847665
2013-07-29,-117384.02702890482
2013-07-30,-86687.39048792463
2013-07-31,121327.62536040274
2013-08-01,-33550.38826621038
2013-08-02,261532.14649708473
2013-08-05,-65864.690793022
2013-08-06,65465.28094140656
2013-08-07,123866.6669775298
2013-08-08,8347.633620331057
2013-08-09,-1180.7214943743218
2013-08-12,49087.766572061635
2013-08-13,95658.7035254604
2013-08-14,97459.60115022061
2013-08-15,102727.07636524465
2013-08-16,-225504.47562178553
2013-08-19,-34481.705560272036
2013-08-20,202431.70638564884
2013-08-21,124153.3542592054
2013-08-22,10423.526858836609
2013-08-23,-62748.755930438805
2013-08-26,-45189.675924929885
2013-08-27,129105.5655709047
2013-08-28,-27455.614268937785
2013-08-29,-28636.846341721328
2013-08-30,129780.56966906742
2013-09-02,-43537.43697637584
2013-09-03,-48752.762485221734
2013-09-04,283591.0669429462
2013-09-05,-138731.34523804256
2013-09-06,-15269.68165175547
2013-09-09,63709.09390189166
2013-09-10,263325.1860418602
2013-09-11,108770.07676920104
2013-09-12,-65935.23194070758
2013-09-13,-1362.318313377957
2013-09-16,83722.99822744828
2013-09-17,30428.8578768455
2013-09-18,-202620.79350891677
2013-09-23,-1753.7595821435928
2013-09-24,40288.654571442996
2013-09-25,-49845.73980125279
2013-09-26,-95583.82461767712
2013-09-27,-303224.51811309875
2013-09-30,208502.27855118728
2013-10-08,76876.06867941003
2013-10-09,219008.79969631773
2013-10-10,186966.33680428434
2013-10-11,222215.6460396638
2013-10-14,41872.12083864328
2013-10-15,-31610.036097896078
2013-10-16,178265.33687854634
2013-10-17,-83248.04133359557
2013-10-18,-39608.44013434277
2013-10-21,24841.860591068085
2013-10-22,294071.17212881194
2013-10-23,105442.28042041135
2013-10-24,-204455.38872655682
2013-10-25,45871.64193978469
2013-10-28,-84449.8416768911
2013-10-29,-212655.4832724563
2013-10-30,-262880.489954396
2013-10-31,265388.4849920696
2013-11-01,-51295.128109765305
2013-11-04,-3289.151980560306
2013-11-05,-82230.09715210428
2013-11-06,93596.34698150495
2013-11-07,-16016.393875138572
2013-11-08,-99629.05371184046
2013-11-11,-114769.1583861577
2013-11-12,93890.50711535834
2013-11-13,60127.30377678698
2013-11-14,-227260.37962430017
2013-11-15,171240.39578672685
2013-11-18,178461.20898989763
2013-11-19,206192.73890280141
2013-11-20,57317.427500531376
2013-11-21,-63000.99008680034
2013-11-22,-42315.089397105636
