,000001.SZ,000002.SZ,000004.SZ,000005.SZ,000006.SZ,000007.SZ,000008.SZ,000009.SZ,000010.SZ
2016-08-15,9.8,25.06,36.83,7.55,8.82,18.47,9.74,11.1,7.68
2016-08-16,9.68,27.57,36.83,7.58,9.1,19.29,9.74,11.39,7.92
2016-08-17,9.6,27.44,36.83,7.75,9.18,19.2,9.71,11.29,7.78
2016-08-18,9.59,27.68,36.83,7.77,9.36,20.64,9.7,11.24,7.8
2016-08-19,9.52,25.32,36.83,7.74,8.96,20.9,9.95,12.11,7.81
2016-08-22,9.51,25.56,36.83,7.63,8.81,22.11,9.8,12.47,7.78
2016-08-23,9.45,25.28,36.83,7.47,8.63,22.95,9.66,12.14,7.81
2016-08-24,9.43,24.84,36.83,7.54,8.72,22.44,9.62,12.03,8.13
2016-08-25,9.45,23.94,36.83,7.49,8.38,22.38,9.5,11.78,7.8
2016-08-26,9.47,23.59,36.83,7.55,8.42,22.18,9.41,11.89,8.26
2016-08-29,9.45,23.25,36.83,7.63,8.35,21.93,9.41,11.38,8.5
2016-08-30,9.47,23.06,36.83,7.54,8.49,21.48,9.42,11.31,8.46
2016-08-31,9.5,24.93,36.83,7.6,8.64,22.4,9.47,11.42,8.45
2016-09-01,9.52,25.01,36.83,7.54,8.51,23.1,9.56,11.45,8.55
2016-09-02,9.46,24.6,36.83,7.43,8.26,22.45,9.38,11.36,8.33
2016-09-05,9.46,23.68,36.83,7.42,8.33,22.59,9.41,11.62,8.44
2016-09-06,9.43,23.66,36.83,7.47,8.28,22.54,9.38,11.44,8.82
2016-09-07,9.42,23.54,36.83,7.96,8.3,22.32,9.37,11.52,9.47
2016-09-08,9.42,24.45,36.83,7.7,8.28,22.28,9.36,11.41,9.15
2016-09-09,9.43,23.59,36.83,7.62,8.24,21.9,9.8,11.45,9.06
2016-09-12,9.32,23.97,36.83,7.45,8.92,22.36,9.42,11.05,9.06
2016-09-13,9.21,23.68,36.83,7.49,9.81,21.98,9.33,11.45,9.05
2016-09-14,9.18,23.8,36.83,7.4,9.58,21.71,9.22,11.13,8.83
2016-09-19,9.14,24.0,36.83,7.46,9.16,21.48,9.2,11.24,8.76
2016-09-20,9.12,23.69,36.83,7.5,9.29,23.38,9.18,11.25,9.07
2016-09-21,9.1,24.62,36.83,7.49,9.15,23.85,9.16,11.12,8.85
2016-09-22,9.18,27.08,36.83,7.65,9.23,24.17,9.13,11.14,8.95
2016-09-23,9.19,26.55,40.51,7.57,9.15,23.81,9.14,11.09,9.02
2016-09-26,9.13,25.35,39.98,7.43,9.44,25.45,9.35,10.8,9.02
2016-09-27,9.07,25.69,37.64,7.3,9.11,24.99,9.34,10.53,8.78
2016-09-28,9.06,26.38,37.13,7.3,9.25,24.46,9.53,10.57,8.5
2016-09-29,9.08,26.3,37.59,7.31,9.43,25.45,9.55,10.52,8.43
2016-09-30,9.1,27.45,37.79,7.35,9.98,24.42,9.73,10.46,8.44
2016-10-10,9.17,25.98,39.32,7.45,10.63,26.48,9.69,10.69,8.62
2016-10-11,9.15,27.41,40.4,7.62,10.82,26.39,9.69,10.82,8.6
2016-10-12,9.16,26.67,42.3,7.5,10.95,26.5,9.69,10.89,8.59
2016-10-13,9.11,27.2,40.48,7.55,10.83,26.6,9.69,10.77,8.67
2016-10-14,9.09,27.25,39.68,7.77,10.58,26.18,9.69,10.72,9.1
2016-10-17,9.09,26.75,39.66,7.61,10.44,26.4,9.69,10.75,8.84
2016-10-18,9.09,26.13,39.25,7.6,10.38,26.38,9.69,10.73,8.41
2016-10-19,9.11,26.48,39.68,7.6,10.7,26.34,9.69,10.76,8.39
2016-10-20,9.09,26.69,39.49,7.53,10.24,26.17,9.69,10.65,8.33
2016-10-21,9.13,25.88,40.73,7.5,10.16,26.16,9.69,10.53,8.39
2016-10-24,9.3,25.45,40.57,7.55,10.19,26.5,10.66,10.52,8.06
2016-10-25,9.26,25.34,39.84,7.55,10.3,26.08,11.73,10.71,8.0
2016-10-26,9.22,25.25,40.6,7.56,10.26,26.0,10.85,10.69,7.99
2016-10-27,9.17,25.07,40.5,7.58,10.23,26.38,10.59,10.69,7.97
2016-10-28,9.23,25.25,41.49,7.63,10.15,26.25,10.25,10.67,7.93
2016-10-31,9.16,25.5,40.66,7.39,10.09,26.32,10.07,10.44,7.83
2016-11-01,9.16,26.1,42.16,7.42,10.16,26.18,10.12,10.46,7.92
2016-11-02,9.14,25.67,44.87,7.44,10.28,26.1,10.48,10.43,8.07
2016-11-03,9.14,25.19,43.8,7.45,10.28,28.5,10.3,10.32,7.98
2016-11-04,9.17,25.0,46.97,7.46,10.8,27.68,10.07,10.31,7.98
2016-11-07,9.12,24.58,47.4,7.58,10.53,27.98,9.97,10.25,7.95
2016-11-08,9.15,24.49,47.77,7.54,10.2,28.65,9.96,10.27,7.93
2016-11-09,9.14,26.64,46.44,7.49,10.2,28.25,9.87,10.27,8.1
2016-11-10,9.16,28.28,46.87,7.68,10.17,27.79,9.85,10.28,8.26
2016-11-11,9.18,26.77,45.9,7.57,10.26,27.17,10.39,10.47,8.65
2016-11-14,9.25,26.25,45.89,7.58,10.14,26.96,10.2,10.62,8.25
2016-11-15,9.24,27.8,47.7,7.62,10.14,26.65,10.2,10.62,8.15
2016-11-16,9.24,27.22,47.5,7.72,10.22,27.15,10.16,10.74,8.19
2016-11-17,9.22,27.0,48.49,7.57,10.1,27.1,10.18,10.56,8.15
2016-11-18,9.21,29.0,47.3,7.6,10.04,27.13,10.15,10.98,8.09
2016-11-21,9.28,28.25,46.56,7.63,9.84,26.81,10.14,10.78,7.95
2016-11-22,9.36,27.42,46.56,7.62,9.71,26.65,10.38,10.64,7.96
